Nr,Key,Source,Category
1,ThisAssembly, https://github.com/devlooped/ThisAssembly,EnhancementProject
2,RSCG_TimeBombComment, https://github.com/ignatandrei/RSCG_TimeBombComment,EnhancementProject
3,System.Text.Json, https://github.com/dotnet/runtime,Serializer
4,RSCG_Utils, https://github.com/ignatandrei/RSCG_Utils,FilesToCode
5,System.Text.RegularExpressions, https://github.com/dotnet/runtime,EnhancementClass
6,SkinnyControllersCommon, https://github.com/ignatandrei/SkinnyControllersGenerator/,API
7,Microsoft.Extensions.Logging, https://github.com/dotnet/runtime,EnhancementClass
8,RSCG_Static, https://github.com/ignatandrei/RSCG_Static,Interface
9,CommunityToolkit.Mvvm, https://github.com/CommunityToolkit/dotnet,MVVM
10,RSCG_AMS, https://github.com/ignatandrei/RSCG_AMS,EnhancementProject
11,AutoDeconstruct, https://github.com/jasonbock/autodeconstruct,Constructor
12,System.Runtime.InteropServices, https://www.nuget.org/packages/System.Runtime.InteropServices/,EnhancementClass
13,QuickConstructor, https://github.com/flavien/QuickConstructor,Constructor
14,AutoCtor, https://github.com/distantcam/AutoCtor,Constructor
15,dunet, https://github.com/domn1995/dunet,FunctionalProgramming
16,Vogen, https://github.com/SteveDunn/Vogen,PrimitiveObsession
17,RazorBlade, https://github.com/ltrzesniewski/RazorBlade,Templating
18,PartiallyApplied, https://github.com/JasonBock/PartiallyApplied,FunctionalProgramming
19,Apparatus.AOT.Reflection, https://github.com/byme8/Apparatus.AOT.Reflection,EnhancementClass
20,NetEscapades.EnumGenerators, https://github.com/andrewlock/NetEscapades.EnumGenerators,Enum
21,Microsoft.Interop.JavaScript.JSImportGenerator, ,EnhancementClass
22,RSCG_FunctionsWithDI, https://github.com/ignatandrei/functionsdi,EnhancementProject
23,Microsoft.NET.Sdk.Razor.SourceGenerators, ,Templating
24,Rocks, https://github.com/JasonBock/Rocks/,Tests
25,mapperly, https://github.com/riok/mapperly,Mapper
26,Podimo.ConstEmbed, https://github.com/podimo/Podimo.ConstEmbed,FilesToCode
27,EmbeddingResourceCSharp, https://github.com/pCYSl5EDgo/EmbeddingResourceCSharp,FilesToCode
28,Lombok.NET, https://github.com/CollinAlpert/Lombok.NET,EnhancementClass
29,Gedaq, https://github.com/SoftStoneDevelop/Gedaq,Database
30,Refit, https://github.com/reactiveui/refit,API
31,MorrisMoxy, https://github.com/mrpmorris/Morris.Moxy,Templating
32,Mediator, https://github.com/martinothamar/Mediator,Mediator
33,Matryoshki, https://github.com/krasin-ga/matryoshki/,Interface
34,MemoryPack, https://github.com/Cysharp/MemoryPack,EnhancementClass
35,DeeDee, https://github.com/joh-pot/DeeDee/,Mediator
36,ProxyGen, https://github.com/Sholtee/ProxyGen,Interface
37,AutoRegisterInject, https://github.com/patrickklaeren/AutoRegisterInject,DependencyInjection
38,EnumClass, https://github.com/ashenBlade/EnumClass,Enum
39,Breezy, https://github.com/Ludovicdln/Breezy,Database
40,FastGenericNew, https://github.com/Nyrest/FastGenericNew,EnhancementClass
41,GeneratorEquals, https://github.com/diegofrata/Generator.Equals,Equals
42,Immutype, https://github.com/DevTeam/Immutype,EnhancementClass
43,spreadcheetah, https://github.com/sveinungf/spreadcheetah,Templating
44,zomp, https://github.com/zompinc/sync-method-generator,EnhancementClass
45,IDisp, https://github.com/benutomo-dev/RoslynComponents,Disposer
46,NextGenMapper, https://github.com/DedAnton/NextGenMapper,Mapper
47,Injectio, https://github.com/loresoft/Injectio,DependencyInjection
48,PropChange, https://github.com/canton7/PropertyChanged.SourceGenerator,MVVM
49,Strongly, https://github.com/lucasteles/Strongly/,PrimitiveObsession
50,Ridge, https://github.com/Melchy/Ridge,Tests
51,OneOf, https://github.com/mcintyre321/OneOf,FunctionalProgramming
52,Gobie, https://github.com/GobieGenerator/Gobie/,Templating
53,RSCG_WebAPIExports, https://github.com/ignatandrei/RSCG_WebAPIExports/,API
54,AutoDTO, https://github.com/Ohorodnikov/AutoDto,Mapper
55,M31FluentAPI, https://github.com/m31coding/M31.FluentAPI,EnhancementClass
56,Roozie.AutoInterface, https://github.com/AlexRussak/Roozie.AutoInterface,Interface
57,Memo, https://github.com/ignatandrei/RSCG_Utils,FunctionalProgramming
58,ThisAssembly_Resources, https://github.com/devlooped/ThisAssembly,FilesToCode
59,SourceGenerator.Helper.CopyCode, https://github.com/LokiMidgard/SourceGenerator.Helper.CopyCode,CodeToString
60,SafeRouting, https://github.com/daviddotcs/safe-routing,API
61,ProtobufSourceGenerator, https://github.com/ladeak/ProtobufSourceGenerator,Serializer
62,RSCG_Decorator, https://github.com/ignatandrei/RSCG_Decorator,EnhancementClass
63,StringLiteral, https://github.com/ufcpp/StringLiteralGenerator,Optimizer
64,ResXGenerator, https://github.com/ycanardeau/ResXGenerator,FilesToCode
65,Disposer, https://github.com/HakamFostok/Disposer,Disposer
66,BuilderGenerator, https://github.com/MelGrubb/BuilderGenerator,Builder
67,MapTo, https://github.com/mrtaikandi/MapTo,Mapper
68,JsonPolymorphicGenerator, https://github.com/surgicalcoder/JsonPolymorphicGenerator,Serializer
69,RSCG_Templating, https://github.com/ignatandrei/rscg_templating/,Templating
70,MagicMap, https://github.com/bramerdaniel/MagicMap,Mapper
71,DisposableHelpers, https://github.com/Kiryuumaru/DisposableHelpers,Disposer
72,Poly, https://github.com/meziantou/Meziantou.Polyfill,EnhancementClass
73,IDisposableGenerator, https://github.com/Elskom/IDisposableGenerator,Disposer
74,CredFetoEnum, https://github.com/credfeto/credfeto-enum-source-generation,Enum
75,StaticReflection, https://github.com/Cricle/StaticReflection/,EnhancementClass
76,UnitGenerator, https://github.com/Cysharp/UnitGenerator,PrimitiveObsession
77,DynamicsMapper, https://github.com/YonatanCohavi/DynamicsMapper/,Mapper
78,MinimalApiBuilder, https://github.com/JensDll/MinimalApiBuilder,API
79,DudNet, https://github.com/jwshyns/DudNet,EnhancementClass
80,AutoConstructor, https://github.com/k94ll13nn3/AutoConstructor,Constructor
81,N.SourceGenerators.UnionTypes, https://github.com/Ne4to/N.SourceGenerators.UnionTypes,FunctionalProgramming
82,jscsg, https://github.com/aviationexam/json-converter-source-generator,Serializer
83,PrimaryParameter, https://github.com/FaustVX/PrimaryParameter,Constructor
84,Biwen.AutoClassGen, https://github.com/vipwan/Biwen.AutoClassGen,Interface
85,OptValidator, https://github.com/dotnet/runtime,EnhancementClass
86,ConfigBinder, https://learn.microsoft.com/en-us/dotnet/core/whats-new/dotnet-8#configuration-binding-source-generator,API
87,RDG, https://github.com/dotnet/aspnetcore,API
88,COM, https://github.com/dotnet/runtime,WinAPI
89,InterceptorTemplate, https://github.com/ignatandrei/RSCG_InterceptorTemplate,Templating
90,TelemetryLogging, https://github.com/dotnet/extensions,EnhancementClass
91,Ling.Audit, https://github.com/ling921/dotnet-lib/,EnhancementClass
92,RSCG_UtilityTypes, https://github.com/ignatandrei/RSCG_UtilityTypes,EnhancementClass
93,Mocklis, https://github.com/mocklis/mocklis/,Tests
94,AspectGenerator, https://github.com/igor-tkachev/AspectGenerator,EnhancementClass
95,CopyCat, https://github.com/Otaman/Copycat/,Interface
96,HsuSgSync, https://github.com/hsu-net/source-generators,Async
97,DomainPrimitives, https://github.com/altasoft/DomainPrimitives,PrimitiveObsession
98,FUD, https://github.com/polyadic/funcky-discriminated-union,FunctionalProgramming
99,MakeInterface, https://github.com/Frederik91/MakeInterface,Interface
100,BuildInfo, https://github.com/linkdotnet/BuildInformation,EnhancementProject
101,EmbedRes, https://github.com/ChristophHornung/EmbeddedResourceGenerator,FilesToCode
102,Blazorators, https://github.com/IEvangelist/blazorators/,Blazor
103,HangfireRecurringJob, https://github.com/IeuanWalker/Hangfire.RecurringJob,Hangfire
104,NotNotAppSettings, https://github.com/jasonswearingen/NotNot.AppSettings/,FilesToCode
105,Weave, https://github.com/otac0n/Weave,FilesToCode
106,WIAD, https://github.com/ignatandrei/RSCG_WhatIAmDoing,AOP
107,NetAutomaticInterface, https://github.com/codecentric/net_automatic_interface,Interface
108,CommandLine, https://github.com/dotmake-build/command-line,EnhancementProject
109,FunicularSwitch, https://github.com/bluehands/Funicular-Switch,FunctionalProgramming
110,jab, https://github.com/pakrym/jab,DependencyInjection
111,cachesourcegenerator, https://github.com/jeppevammenkristensen/cachesourcegenerator,FunctionalProgramming
112,OptionToStringGenerator, https://github.com/Seekatar/OptionToStringGenerator,EnhancementClass
113,sourcedepend, https://github.com/crwsolutions/sourcedepend,Constructor
114,corecraft, https://github.com/AlexNav73/CoreCraft,FilesToCode
115,UnionsGenerator, https://github.com/PaulBraetz/RhoMicro.CodeAnalysis/,FunctionalProgramming
116,CopyTo, https://github.com/PaulBraetz/RhoMicro.CodeAnalysis,Clone
117,PlantUmlClassDiagramGenerator, https://github.com/pierre3/PlantUmlClassDiagramGenerator/,EnhancementProject
118,RSCG_Wait, https://github.com/ignatandrei/RSCG_WaitAndOptions,EnhancementProject
119,AutoGen, https://github.com/Antelcat/AutoGen,Mapper
120,LingoGen, https://github.com/RubenBroere/lingo-gen,FilesToCode
121,AutoSpectre, https://github.com/jeppevammenkristensen/auto-spectre,EnhancementProject
122,RSCG_JSON2Class, https://github.com/ignatandrei/RSCG_JSON2Class,FilesToCode
123,CodeAnalysis, https://github.com/feast107/CodeAnalysis,CodeToString
124,Architect.DomainModeling, https://github.com/TheArchitectDev/Architect.DomainModeling,Builder
